datetime,temp,tempmax,tempmin,humidity,precip,cloudcover,visibility,day,month,city_DaNang,city_Hanoi,city_HoChiMinh
2010-01-01,23.8,28.0,20.1,81.9,0.0,67.5,8.3,1,1,True,False,False
2010-01-01,26.6,33.1,22.1,74.2,0.0,43.5,9.6,1,1,False,False,True
2010-01-01,16.6,17.7,16.0,96.7,2.9,99.5,3.3,1,1,False,True,False
2010-01-02,24.2,28.6,20.0,84.1,0.0,58.2,7.4,2,1,True,False,False
2010-01-02,27.1,32.0,22.0,70.7,0.0,51.1,9.9,2,1,False,False,True
2010-01-02,16.8,18.0,15.9,92.3,0.6,96.3,6.2,2,1,False,True,False
2010-01-03,24.1,26.2,21.0,84.9,0.004,82.3,6.3,3,1,True,False,False
2010-01-03,27.2,32.2,24.0,73.7,0.0,52.4,9.9,3,1,False,False,True
2010-01-03,19.4,22.0,17.0,79.7,0.9,89.5,8.6,3,1,False,True,False
2010-01-04,27.2,32.0,23.0,66.5,0.0,56.6,10.3,4,1,False,False,True
2010-01-04,19.7,22.0,18.0,87.8,0.0,95.7,4.4,4,1,False,True,False
2010-01-04,24.4,28.1,20.1,81.0,0.0,69.1,7.8,4,1,True,False,False
2010-01-05,22.4,27.0,19.9,86.2,0.3,87.1,5.1,5,1,False,True,False
2010-01-05,24.4,28.6,19.7,81.9,0.0,58.5,7.6,5,1,True,False,False
2010-01-05,27.1,33.0,23.1,74.5,0.0,40.8,10.3,5,1,False,False,True
2010-01-06,20.1,23.0,17.8,81.7,22.1,92.4,7.6,6,1,False,True,False
2010-01-06,24.1,28.0,18.2,82.6,0.0,46.6,8.5,6,1,True,False,False
2010-01-06,26.6,33.0,23.0,74.6,0.0,32.7,10.5,6,1,False,False,True
2010-01-07,16.0,18.0,13.3,85.3,0.3,100.0,5.9,7,1,False,True,False
2010-01-07,26.8,33.0,21.0,70.5,0.0,38.2,10.2,7,1,False,False,True
2010-01-07,25.1,27.1,22.2,77.9,0.017,59.8,8.5,7,1,True,False,False
2010-01-08,26.5,32.2,22.0,75.4,0.0,38.7,10.3,8,1,False,False,True
2010-01-08,23.1,25.1,19.2,75.1,0.002,80.7,8.8,8,1,True,False,False
2010-01-08,16.0,19.0,13.0,68.9,2.0,53.9,6.7,8,1,False,True,False
2010-01-09,26.4,32.0,23.0,78.4,0.0,51.2,10.0,9,1,False,False,True
2010-01-09,22.8,25.2,20.0,79.1,0.001,87.7,8.1,9,1,True,False,False
2010-01-09,16.8,18.6,13.0,86.5,0.0,91.2,3.7,9,1,False,True,False
2010-01-10,27.0,33.0,22.0,72.2,0.0,47.5,10.3,10,1,False,False,True
2010-01-10,24.1,28.0,19.2,79.0,0.0,44.8,7.1,10,1,True,False,False
2010-01-10,19.4,24.0,17.0,87.0,0.0,75.7,5.0,10,1,False,True,False
2010-01-11,26.6,31.0,23.0,75.4,0.0,37.7,10.3,11,1,False,False,True
2010-01-11,24.4,28.0,22.0,80.6,0.0,55.2,7.7,11,1,True,False,False
2010-01-11,16.8,18.0,15.9,75.8,0.4,93.8,10.7,11,1,False,True,False
2010-01-12,26.2,32.0,23.0,78.5,0.0,44.4,10.3,12,1,False,False,True
2010-01-12,14.7,16.0,13.9,58.9,0.6,62.4,9.8,12,1,False,True,False
2010-01-12,20.8,22.4,18.9,88.1,39.803,82.1,6.7,12,1,True,False,False
2010-01-13,14.2,16.0,8.8,52.5,0.0,35.3,6.6,13,1,False,True,False
2010-01-13,20.2,23.0,18.0,76.6,0.012,91.8,8.0,13,1,True,False,False
